18.09 open;18.09 max;18.09 min;18.09 close;18.10 open;18.10 max;18.10 min;18.10 close;20.11 open;20.11 max;20.11 min;20.11 close;18.12 open;18.12 max;18.12 min;18.12 close
109880;109890;109860;109860;114810;114850;114770;114810;112790;112830;112770;112790;109510;109550;109500;109520
109850;109860;109840;109840;114810;114820;114760;114790;112790;112830;112780;112830;109540;109580;109500;109530
109840;109920;109840;109900;114780;114860;114770;114830;112830;112860;112810;112850;109530;109570;109530;109540
109900;109920;109880;109910;114830;114850;114810;114820;112860;112860;112820;112850;109550;109580;109510;109540
109910;109920;109890;109920;114820;114850;114810;114820;112840;112870;112830;112840;109540;109560;109450;109480
109910;109920;109860;109870;114810;114820;114770;114800;112830;112900;112800;112890;109470;109520;109460;109460
109870;109880;109860;109870;114800;114810;114740;114750;112890;112890;112820;112840;109470;109540;109460;109500
109870;109870;109830;109840;114740;114780;114730;114760;112850;112870;112800;112830;109500;109510;109430;109450
109840;109870;109840;109870;114750;114810;114750;114810;112830;112850;112810;112850;109470;109490;109430;109450
109870;109890;109870;109870;114810;114820;114790;114820;112850;112850;112820;112840;109470;109500;109420;109430
109890;109900;109870;109870;114830;114850;114820;114840;112840;112850;112740;112740;109430;109440;109420;109430
109870;109950;109870;109940;114850;114860;114840;114860;112740;112760;112700;112740;109420;109460;109410;109440
109950;109950;109880;109880;114860;114870;114790;114790;112750;112780;112720;112750;109440;109510;109440;109490
109880;109910;109850;109860;114800;114830;114780;114830;112750;112770;112720;112740;109490;109500;109470;109470
109850;109870;109770;109800;114820;114830;114720;114720;112750;112760;112740;112750;109480;109520;109470;109520
109800;109880;109770;109830;114740;114800;114740;114790;112760;112760;112710;112720;109520;109570;109480;109500
109830;109860;109830;109850;114790;114810;114780;114810;112730;112750;112700;112710;109490;109500;109450;109490
109850;109890;109780;109810;114800;114830;114770;114830;112700;112710;112540;112630;109490;109510;109440;109440
109810;109810;109790;109790;114820;114850;114800;114850;112630;112670;112600;112670;109440;109490;109430;109460
109800;109820;109790;109800;114840;114860;114820;114850;112670;112760;112670;112760;109480;109480;109410;109420
109810;109820;109800;109800;114850;114950;114820;114860;112760;112760;112700;112710;109420;109470;109420;109460
109800;109820;109770;109810;114870;114890;114830;114850;112690;112800;112680;112780;109460;109470;109380;109400
109800;109820;109800;109810;114850;114860;114770;114790;112780;112830;112760;112790;109400;109430;109370;109370
109810;109840;109810;109820;114780;114780;114670;114710;112780;112910;112770;112890;109370;109390;109330;109390
109820;109840;109810;109810;114720;114750;114710;114750;112890;112910;112840;112870;109390;109410;109370;109400
109820;109820;109810;109810;114730;114750;114720;114740;112870;112920;112830;112900;109390;109440;109380;109410
109810;109810;109800;109810;114750;114790;114690;114710;112900;112910;112860;112870;109420;109430;109380;109430
109820;109820;109810;109810;114700;114740;114670;114700;112870;112880;112800;112820;109440;109460;109420;109440
109820;109820;109740;109750;114700;114730;114630;114630;112830;112880;112820;112860;109450;109490;109430;109490
109760;109800;109750;109800;114640;114640;114560;114580;112860;112870;112840;112860;109490;109510;109470;109500
109820;109820;109780;109790;114580;114590;114510;114550;112860;112920;112830;112910;109490;109550;109450;109450
109790;109810;109780;109790;114550;114560;114520;114530;112920;112990;112890;112970;109450;109470;109450;109450
109780;109790;109780;109790;114520;114570;114510;114560;112970;113050;112960;113010;109460;109530;109450;109510
109790;109790;109770;109790;114570;114630;114550;114580;113010;113090;113000;113070;109510;109530;109440;109440
109790;109790;109770;109780;114570;114600;114570;114580;113060;113100;113030;113040;109440;109460;109430;109450
109780;109780;109670;109710;114590;114630;114580;114590;113050;113050;112990;113040;109460;109460;109410;109450
109710;109740;109700;109740;114580;114630;114560;114610;113050;113060;112980;112980;109440;109450;109340;109340
109740;109750;109730;109740;114600;114630;114590;114600;113000;113030;112990;113020;109340;109380;109310;109380
109740;109750;109730;109750;114600;114600;114570;114570;113010;113030;112990;113010;109370;109400;109340;109370
109760;109760;109730;109750;114580;114600;114500;114540;113000;113040;113000;113040;109370;109400;109350;109380
109740;109740;109730;109730;114540;114560;114380;114420;113040;113080;113020;113040;109370;109390;109350;109390
109730;109740;109720;109730;114400;114460;114380;114390;113050;113230;113050;113150;109380;109380;109300;109330
109740;109760;109740;109740;114380;114400;114310;114370;113150;113210;113140;113180;109320;109340;109260;109320
109740;109770;109730;109770;114370;114430;114360;114390;113180;113320;113170;113270;109320;109320;109230;109280
109770;109830;109770;109820;114410;114420;114380;114410;113280;113300;113240;113270;109290;109300;109260;109300
109830;109840;109810;109810;114410;114410;114350;114370;113250;113280;113210;113230;109300;109300;109230;109270
109820;109820;109800;109800;114360;114370;114320;114320;113230;113250;113200;113220;109280;109310;109250;109310
109840;109840;109810;109820;114330;114340;114270;114310;113220;113280;113190;113200;109300;109350;109290;109340
109830;109870;109820;109870;114310;114310;114190;114210;113210;113250;113160;113170;109360;109360;109320;109320
109870;109900;109870;109870;114200;114220;114140;114160;113160;113180;113140;113140;109320;109390;109320;109320
109880;109880;109860;109860;114160;114170;114110;114110;113150;113160;113100;113160;109320;109360;109280;109360
109870;109870;109840;109840;114120;114200;114100;114180;113140;113160;113120;113130;109350;109370;109320;109330
109850;109850;109810;109810;114170;114200;114150;114180;113150;113160;113110;113110;109340;109340;109260;109260
109810;109820;109800;109810;114180;114220;114180;114180;113120;113120;113080;113120;109260;109270;109210;109230
109820;109850;109820;109840;114190;114290;114190;114270;113120;113130;113080;113080;109220;109250;109210;109230
109850;109880;109850;109850;114270;114290;114250;114260;113080;113120;113070;113120;109230;109240;109190;109210
109860;109870;109810;109810;114270;114270;114220;114250;113110;113150;113110;113120;109210;109220;109180;109220
109830;109860;109830;109840;114250;114300;114250;114280;113120;113140;113110;113120;109220;109270;109200;109250
109850;109850;109810;109810;114290;114360;114280;114340;113120;113130;113050;113080;109240;109250;109210;109240
109810;109810;109760;109760;114340;114360;114300;114320;113090;113120;113070;113110;109240;109270;109230;109270
109790;109800;109760;109780;114320;114360;114320;114360;113110;113110;113070;113080;109270;109270;109240;109270
109780;109810;109770;109810;114350;114380;114340;114350;113090;113090;113040;113040;109280;109300;109240;109250
109810;109810;109800;109800;114360;114390;114350;114390;113060;113070;113020;113050;109240;109260;109230;109250
109810;109850;109810;109850;114390;114410;114290;114310;113040;113100;113030;113100;109240;109250;109190;109220
109860;109880;109830;109830;114310;114330;114280;114320;113100;113100;113070;113090;109210;109250;109200;109250
109840;109850;109810;109810;114320;114330;114300;114320;113070;113070;113020;113030;109250;109350;109230;109320
109830;109860;109820;109860;114330;114370;114330;114360;113020;113060;113010;113040;109320;109340;109310;109330
109870;109870;109830;109830;114360;114370;114340;114340;113030;113040;113000;113010;109340;109360;109320;109340
109820;109890;109820;109870;114360;114380;114340;114380;113010;113110;113010;113060;109340;109390;109330;109370
109870;109880;109850;109860;114380;114400;114380;114390;113070;113110;113070;113090;109380;109390;109340;109360
